iter	Passed	Remaining
563	1728	1335
564	1730	1332
565	1732	1328
566	1734	1324
567	1736	1321
568	1739	1317
569	1741	1313
570	1745	1311
571	1748	1308
572	1750	1304
573	1757	1304
574	1759	1300
575	1763	1297
576	1765	1294
577	1767	1290
578	1774	1290
579	1776	1286
580	1779	1282
581	1781	1279
582	1783	1275
583	1786	1272
584	1789	1269
585	1791	1265
586	1794	1262
587	1797	1259
588	1799	1255
589	1801	1251
590	1803	1248
591	1805	1244
592	1807	1240
593	1809	1236
594	1811	1233
595	1813	1229
596	1816	1226
597	1818	1222
598	1823	1220
599	1825	1216
600	1827	1213
601	1830	1209
602	1832	1206
603	1837	1204
604	1839	1200
605	1841	1197
606	1845	1194
607	1847	1190
608	1849	1187
609	1853	1185
610	1856	1182
611	1858	1178
612	1861	1175
613	1863	1171
614	1865	1168
615	1868	1164
616	1872	1162
617	1874	1158
618	1877	1155
619	1879	1151
620	1881	1148
621	1882	1144
622	1884	1140
623	1886	1136
624	1888	1133
625	1893	1130
626	1894	1127
627	1897	1124
628	1907	1125
629	1910	1122
630	1915	1120
631	1917	1116
632	1919	1112
633	1922	1109
634	1925	1106
635	1931	1105
636	1934	1102
637	1937	1099
638	1940	1096
639	1943	1093
640	1946	1089
641	1948	1086
642	1950	1082
643	1953	1080
644	1955	1076
645	1958	1073
646	1962	1070
647	1964	1066
648	1970	1065
649	1973	1062
650	1974	1058
651	1976	1054
652	1978	1051
653	1980	1048
654	1983	1044
655	1986	1041
656	1989	1038
657	1991	1035
658	1994	1032
659	1996	1028
660	2000	1025
661	2001	1022
662	2003	1018
663	2005	1014
664	2007	1011
665	2009	1007
666	2011	1004
667	2013	1000
668	2015	997
669	2017	993
670	2020	990
671	2023	987
672	2026	984
673	2029	981
674	2032	978
675	2035	975
676	2037	972
677	2040	969
678	2042	965
679	2044	961
680	2046	958
681	2048	955
682	2051	951
683	2052	948
684	2054	944
685	2056	941
686	2058	937
687	2060	934
688	2062	931
689	2065	927
690	2067	924
691	2069	921
692	2073	918
693	2074	914
694	2076	911
695	2080	908
696	2081	905
697	2083	901
698	2085	898
699	2088	895
700	2090	891
701	2092	888
702	2094	884
703	2097	881
704	2100	879
705	2101	875
706	2104	872
707	2108	869
708	2112	867
709	2117	864
710	2128	865
711	2130	861
712	2131	858
713	2133	854
714	2136	851
715	2138	848
716	2139	844
717	2142	841
718	2145	838
719	2147	835
720	2150	832
721	2153	829
722	2160	827
723	2166	826
724	2177	825
725	2180	822
726	2185	820
727	2190	818
